,index,pitax_2024,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,2,22,61,119,261,880,"2,209"
3, 10-20,77,77,317,"2,042","5,885","11,748","19,981","30,559","43,018","57,281"
4, 20-30,"8,353","8,353","16,394","26,571","38,593","52,514","68,177","85,682","105,215","126,953"
5, 30-40,"37,794","37,794","51,721","67,327","84,734","104,113","125,668","149,651","176,324","205,957"
6, 40-50,"73,748","73,748","91,885","112,036","134,419","159,281","186,902","217,589","251,669","289,509"
7, 50-60,"109,936","109,936","132,043","156,591","183,850","214,121","247,759","285,136","326,658","372,780"
8, 60-70,"160,968","160,968","188,718","219,537","253,768","291,795","334,045","380,979","433,117","491,159"
9, 70-80,"232,599","232,599","268,241","307,829","351,805","400,674","454,977","515,467","582,382","658,616"
10, 80-90,"375,369","375,369","426,993","484,586","548,751","621,676","704,243","797,455","903,286","1,021,719"
11, 90-100,"1,660,528","1,660,528","1,863,030","2,089,595","2,393,264","2,683,482","3,007,019","3,367,846","3,770,058","4,218,250"
12, ALL,"265,940","265,940","303,937","346,615","399,512","453,950","514,893","583,067","659,266","744,449"
13, 90-95,"696,566","696,566","785,406","884,446","1,017,578","1,149,689","1,296,993","1,463,176","1,649,056","1,855,975"
14, 95-99,"1,469,993","1,469,993","1,651,983","1,857,731","2,166,125","2,434,648","2,735,343","3,070,000","3,443,912","3,862,533"
15, Top 1%,"7,242,302","7,242,302","8,095,141","9,042,576","10,180,001","11,347,513","12,643,542","14,082,246","15,679,278","17,452,072"
