,index,pitax_2024,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,2,22,61,119,217,663,"1,785"
3, 10-20,77,77,177,"1,323","4,541","9,779","17,272","27,180","39,099","52,809"
4, 20-30,"7,397","6,491","13,706","23,306","34,753","48,103","63,236","80,165","99,074","120,131"
5, 30-40,"35,854","33,935","47,293","62,386","79,221","97,986","118,864","142,097","167,939","196,650"
6, 40-50,"71,171","68,596","86,157","105,675","127,357","151,441","178,201","207,930","240,948","277,608"
7, 50-60,"106,805","103,674","125,092","148,875","175,285","204,614","237,206","273,422","313,656","358,348"
8, 60-70,"157,044","153,121","180,008","209,869","243,036","279,883","320,823","366,303","416,826","473,027"
9, 70-80,"227,579","222,560","257,097","295,460","338,074","385,433","438,041","496,649","562,132","635,232"
10, 80-90,"368,151","360,934","410,925","466,686","528,895","598,299","675,723","762,024","858,095","965,017"
11, 90-100,"1,633,222","1,605,938","1,802,118","2,021,614","2,266,961","2,541,215","2,847,916","3,190,977","3,574,798","4,004,118"
12, ALL,"260,732","255,535","292,260","333,522","379,818","431,685","489,744","554,701","627,328","708,478"
13, 90-95,"684,183","671,804","757,900","853,914","960,904","1,080,164","1,213,099","1,361,650","1,529,674","1,719,937"
14, 95-99,"1,445,386","1,420,822","1,596,647","1,795,387","2,019,716","2,272,870","2,558,850","2,881,577","3,243,426","3,648,561"
15, Top 1%,"7,129,594","7,016,904","7,844,902","8,764,809","9,785,992","10,919,589","12,177,972","13,574,889","15,125,537","16,846,845"
